,brand,state,year,quarter,count,percentage
0,Xiaomi,Andaman & Nicobar,2018,1,1665,0.2470326409495549
1,Samsung,Andaman & Nicobar,2018,1,1445,0.2143916913946587
2,Vivo,Andaman & Nicobar,2018,1,982,0.1456973293768546
3,Oppo,Andaman & Nicobar,2018,1,501,0.0743323442136498
4,OnePlus,Andaman & Nicobar,2018,1,332,0.0492581602373887
5,Realme,Andaman & Nicobar,2018,1,316,0.0468842729970326
6,Apple,Andaman & Nicobar,2018,1,229,0.0339762611275964
7,Motorola,Andaman & Nicobar,2018,1,226,0.0335311572700296
8,Lenovo,Andaman & Nicobar,2018,1,202,0.0299703264094955
9,Huawei,Andaman & Nicobar,2018,1,158,0.0234421364985163
10,Others,Andaman & Nicobar,2018,1,684,0.1014836795252225
11,Xiaomi,Andaman & Nicobar,2018,2,2303,0.244869750132908
12,Samsung,Andaman & Nicobar,2018,2,1923,0.2044657097288676
13,Vivo,Andaman & Nicobar,2018,2,1523,0.1619351408825093
14,Oppo,Andaman & Nicobar,2018,2,708,0.0752791068580542
15,OnePlus,Andaman & Nicobar,2018,2,466,0.0495481127060074
16,Realme,Andaman & Nicobar,2018,2,465,0.0494417862838915
17,Motorola,Andaman & Nicobar,2018,2,319,0.0339181286549707
18,Apple,Andaman & Nicobar,2018,2,308,0.0327485380116959
19,Lenovo,Andaman & Nicobar,2018,2,244,0.0259436469962785
20,Huawei,Andaman & Nicobar,2018,2,230,0.024455077086656
21,Others,Andaman & Nicobar,2018,2,916,0.0973950026581605
22,Xiaomi,Andaman & Nicobar,2018,3,2950,0.2428183389579389
23,Samsung,Andaman & Nicobar,2018,3,2409,0.1982879249320931
24,Vivo,Andaman & Nicobar,2018,3,2063,0.1698082146678739
25,Oppo,Andaman & Nicobar,2018,3,988,0.0813235657255741
26,OnePlus,Andaman & Nicobar,2018,3,617,0.0507860729278129
27,Realme,Andaman & Nicobar,2018,3,603,0.0496337147090295
28,Motorola,Andaman & Nicobar,2018,3,390,0.0321014075232529
29,Apple,Andaman & Nicobar,2018,3,371,0.0305374927977611
30,Huawei,Andaman & Nicobar,2018,3,314,0.0258457486212857
31,Lenovo,Andaman & Nicobar,2018,3,299,0.0246110791011605
32,Others,Andaman & Nicobar,2018,3,1145,0.0942464400362169
33,Xiaomi,Andaman & Nicobar,2018,4,3719,0.2443174352910261
34,Samsung,Andaman & Nicobar,2018,4,2936,0.1928787281566154
35,Vivo,Andaman & Nicobar,2018,4,2742,0.1801340165549862
36,Oppo,Andaman & Nicobar,2018,4,1268,0.0833004861384837
37,Realme,Andaman & Nicobar,2018,4,760,0.0499277361713309
38,OnePlus,Andaman & Nicobar,2018,4,721,0.0473656549730653
39,Motorola,Andaman & Nicobar,2018,4,474,0.0311391407173827
40,Apple,Andaman & Nicobar,2018,4,455,0.0298909473130994
